Name,Count
fantasia,16
above,297
sanguine,16
two,1513
skittish,7
york,223
middle-agers,9
stumble,29
relationship,248
struggle,142
furiously,17
fears,126
foibles,54
ambition,107
subjects,151
not,5000
willingness,29
scherfig,19
will,2148
wondering,81
clever,525
credits,167
roll,120
absorbing,120
documentary,721
reeks,13
rot,6
hack,33
vignettes,28
clips,34
looking,439
common,134
through-line,17
contrived,251
pastiche,39
caper,62
major,223
problem,241
bulk,8
centers,21
wrong,312
swimfan,37
attraction,148
eventually,86
goes,380
overboard,11
loony,9
melodramatic,164
denouement,21
school,279
swimming,28
pool,65
substitutes,20
bathtub,21
heartfelt,130
involving,136
unsettling,204
experience,501
predecessors,89
proud,63
pretty,601
execution,177
lot,748
richer,82
ones,252
hollywood,1015
screenwriters,62
usually,134
come,756
own,1655
phillip,18
noyce,29
cinematographer,36
christopher,46
doyle,11
understand,193
delicate,158
forcefulness,21
greene,56
prose,49
screen,993
version,413
american,963
pianist,56
lacks,278
quick,95
emotional,839
connections,55
steven,175
spielberg,171
schindler,14
list,142
inventive,208
intoxicatingly,4
sexy,136
violent,110
maddening,21
tells,110
fascinating,532
compelling,655
written,322
flatly,13
kendall,7
directed,338
barely,241
mary,46
co-writer,51
ed,45
decter,9
highly,190
recommended,34
viewing,160
courage,144
ideas,440
technical,97
proficiency,10
great,1187
acting,876
imax,160
short,446
wonderful,241
big,1149
shows,308
slice,127
yet,701
instantly,62
recognizable,25
amid,42
shock,97
curiosity,95
factors,17
corny,64
examination,178
actress,193
trying,498
find,764
her,1824
lazy,121
solving,13
distract,29
solution,14
another,1145
comprehensible,31
dummies,21
guide,32
non-techies,7
enjoy,417
entertains,18
because,921
music,778
comic,536
antics,70
pleasure,307
disney,321
scrape,12
bottom,89
cracker,16
barrel,53
writer\/director,79
burr,35
steers,35
emphasizes,47
q,25
quirky,420
mixed,105
results,94
scarcely,39
mention,97
reporting,14
number,117
tumbleweeds,10
blowing,33
empty,128
theatres,35
graced,6
company,205
invigorating,32
surreal,104
resonant,89
rainbow,6
emotion,134
analyze,104
crass,80
sequels,123
fails,256
second-guess,16
affection,151
original,863
report,133
card,56
live,358
exalted,14
tagline,18
definite,12
room,186
improvement,25
neither,266
monsterous,8
tsai,47
may,1329
ploughing,7
furrow,9
once,549
often,876
green,169
equivalent,119
saddam,10
hussein,10
ready,54
go,833
u.n.,11
ask,94
permission,13
preemptive,24
strike,80
u.n,4
surprisingly,362
solid,389
achievement,78
malcolm,27
d.,17
lee,95
writer,192
john,419
ridley,6
d,28
massoud,11
record,105
tenacious,26
humane,37
fighter,21
was,1721
prisoner,24
victim,70
changing,98
lanes,32
tries,273
shyamalan,81
stop,93
please,122
mom,21
macabre,30
stylized,75
swedish,25
fillm,7
city,231
where,759
religious,74
civic,24
virtues,78
hold,206
society,173
tatters,21
recent,395
memory,230
thoughtful,225
art,576
ethics,36
cost,64
moral,320
compromise,31
consistently,91
unimaginative,79
probably,376
saved,44
aid,24
wisecracking,16
mystery,302
science,113
3000,60
guys,273
tian,16
zhuangzhuang,9
triumphantly,13
returns,55
filmmaking,392
visually,289
masterful,77
power,459
mawkish,20
self-parody,12
weird,170
masterpiece,168
sketch,79
view,248
nor,270
believe,353
puts,150
them,1661
battle,189
wills,28
care,590
appreciate,97
one-sided,18
theme,132
lawrence,80
over-indulgent,9
tirade,9
knock,37
yourself,194
postcard,55
self-glorified,13
martin,150
lovefest,15
whole,511
sneaky,18
dupe,16
viewer,302
taking,236
important,266
simply,458
ugly,226
look,1294
product,140
whenever,52
threatens,20
get,1295
bogged,28
dramaturgy,11
stirring,92
sequence,154
surge,10
swirling,11
rapids,11
leap,17
pinnacle,20
rouses,6
swinging,41
seem,610
hobby,7
attracts,8
fit,159
when,1638
entirely,244
unprepared,8
devos,8
delivers,244
perfect,321
captures,147
innocence,91
budding,23
demons,59
within,127
wallflower,11
300,29
years,697
russian,67
culture,455
compressed,11
evanescent,8
seamless,20
sumptuous,42
stream,30
consciousness,75
filmmakers,408
want,585
else,386
cheap,241
b,118
succeed,48
polanski,76
element,70
alone,199
abandoned,13
consoled,8
he,1936
revealed,32
before,825
spiritual,176
survival,41
spider-man,50
summer,412
blockbuster,37
endure,80
last,640
hopefully,30
sets,167
tone,378
stuff,413
turpin,6
vulgar,81
forgettably,11
images,307
war-ravaged,9
land,98
prove,134
potent,75
riveting,135
unlikely,113
sarah,29
harrison,45
winds,87
revelatory,81
narcissistic,9
achieving,17
honest,319
insight,305
relationships,211
high-concept,30
candy-coat,9
storylines,30
precious,119
circumstances,40
beautiful,386
stars,193
mostly,311
martha,90
unsurprising,23
delectable,24
diversion,68
affecting,120
portrait,376
screwed-up,16
dared,19
powerful,384
people,1526
seen,930
eyes,326
idealistic,30
kid,201
chooses,34
champion,36
losing,58
cause,163
keenly,18
observed,25
refreshingly,135
natural,168
details,116
promenade,12
clad,34
bodies,50
myrtle,17
beach,74
s.c.,8
adrenaline,34
jolt,33
sudden,61
lunch,51
rush,94
diner,16
s.c,7
brilliant,247
expense,70
paid,91
pay,186
triumph,147
hews,9
carries,91
effortlessly,47
darkness,34
light,389
everyone,431
involved,182
seems,712
coasting,13
hooked,4
delicious,71
pulpiness,8
lurid,47
fiction,141
kind,1029
production,342
been,2043
funnier,156
released,143
outtakes,37
theatrically,17
used,211
bonus,28
dvd,94
tolstoy,7
groupies,17
daughter,38
danang,10
reveals,150
efforts,161
toward,131
closure,30
open,173
wounds,33
weirdly,67
unpredictable,64
pieces,165
intriguing,341
intoxicating,69
although,190
fairly,261
end,767
having,309
fresh,399
growing,126
catholic,47
really,1221
anything,658
comprehension,22
were,881
sleek,35
arty,21
poor,177
editing,142
bluescreen,20
ultra-cheesy,4
highlight,13
radical,50
cho,65
face,475
amazing,114
slapstick,185
instrument,8
creating,106
scrapbook,18
living,220
mug,18
shots,153
frame,182
completely,343
misses,76
emotions,246
initial,43
strangeness,28
inexorably,19
rote,58
sentimentality,205
mystical,15
tenderness,27
expedience,19
lets,118
brush,20
humanity,178
psycho,37
without,1096
him,664
hartley,62
created,136
monster,217
did,628
handle,60
cowering,16
begging,22
feet,70
scruffy,28
giannini,5
madonna,78
since,499
abel,13
ferrara,20
beaten,27
pulp,64
dangerous,146
game,332
clumsy,113
key,92
moments,858
splash,47
eight,76
legged,31
freaks,57
partly,52
homage,103
tarantula,18
low,210
budget,129
b-movie,113
thrillers,66
1950s,28
'60s,109
sophomoric,62
romp,60
hellish,20
conditions,28
errol,26
morris,18
focusing,39
eccentricity,26
failing,35
bigger,96
oddballs,23
near-future,6
america,255
scientific,15
law,19
discerned,25
producers,69
heed,19
mediocre,190
drag,184
speeds,20
explosions,46
fall,110
few,1123
cool,282
never,1510
aware,93
coolness,23
artist,250
tired,227
fighting,78
fights,72
putting,44
weight,106
shoulders,64
form,297
stale,140
uninspired,76
cut,203
song,129
fully,227
example,109
lush,58
all-enveloping,16
rhapsodizes,10
rare,356
capability,15
soothe,11
break,177
heart,871
single,256
stroke,39
eerily,16
accurate,65
depiction,100
depression,16
feature-length,76
wears,81
tryingly,11
uncluttered,6
gem,95
relays,7
universal,159
points,231
lectures,13
confrontations,8
force,181
scratch,67
hole,49
head,376
post-camp,7
old-time,23
good-bad,10
perfectly,232
creature-feature,6
fan,156
knows,248
cross,72
toxic,24
chemicals,10
bunch,113
exotic,81
creatures,32
running,286
around,601
screaming,87
death,381
bet,26
convoluted,67
journey,270
turn,348
devolves,24
bizarre,205
sort,388
shainberg,27
adaptation,236
gaitskill,9
harrowing,76
brilliantly,50
played,156
kim,23
ki-deok,3
mind,437
emotionally,273
least,628
adolescent,110
audience,1269
demanding,51
regular,19
shocks,57
bouts,12
defensible,14
sexual,241
violence,308
keep,621
exist,36
employ,15
kids,708
owe,30
favors,30
famous,101
parents,269
well-made,105
scattered,63
whose,529
hero,313
dog,237
cinema,738
paradiso,53
improved,39
campanella,14
middle,258
sad,331
hopeful,106
amiable,47
unfocused,68
bagatelle,8
loosely-connected,12
string,99
acting-workshop,12
exercises,12
sharp,204
dull,531
wallace,60
bit,561
heavy,192
handed,31
message,378
flair,125
waxes,9
poetic,152
taste,281
charming,410
thing,811
chimps,26
lots,212
blown,56
size,47
starts,198
spirals,7
downward,20
thuds,5
utterly,215
incompetent,46
conclusion,144
children,516
truest,8
horrendously,10
amateurish,90
plainly,29
incomprehensible,34
beautifully,283
crafted,114
attract,48
upscale,17
audiences,363
hungry,31
quality,274
nostalgic,34
twisty,34
yarn,128
guessing,90
awkwardly,41
magic,218
realism,128
punch,74
lines,162
miss,141
unfortunately,99
outnumber,8
hits,140
three-to-one,8
smoke,13
signals,17
imbued,9
themes,201
familial,55
spirituality,19
moving,534
stooping,20
base,37
melodrama,374
evokes,42
style,603
flash,58
double-cross,25
heist,33
uplifting,93
brief,72
42,6
need,562
x,122
blab,19
spalding,5
gray,26
teen,234
gross-out,148
deal,237
preposterous,96
uneven,144
result,106
rehashes,15
several,280
old,931
capped,8
pointless,125
extremes,26
insanely,45
graphic,90
dragons,49
real,1071
reign,80
fire,199
wo,362
disappointed,70
dramatic,405
happen,168
manages,375
intended,163
placing,15
coma-like,10
state,115
generates,25
degree,92
randomness,20
achieved,25
lottery,12
drawing,46
veers,44
course,169
unintentional,78
parallels,21
inadvertently,25
evoke,51
memories,100
humorous,95
depress,6
saw,182
tv,480
convinced,47
already,305
impression,84
territory,107
humor,1171
lose,44
smug,81
self-satisfaction,10
associated,39
private,111
schools,22
superior,128
heavy-handed,122
navigates,5
fast,140
fade,30
pomposity,11
pretentiousness,6
weak,157
together,543
told,241
latently,6
liking,22
read,199
hardly,128
enough,1872
sophisticated,174
literate,53
such,1057
pictures,275
catch,63
slight,157
monte,23
cristo,23
smartly,46
well-wrought,9
omits,6
needless,10
chase,158
swordfights,10
revenge,138
unfolds,72
fairy,64
tale,839
renowned,19
indian,91
allows,141
americans,115
revel,20
splendor,32
well-done,16
supernatural,62
keen,20
insights,108
parapsychological,8
phenomena,8
soulful,54
nuances,49
grieving,14
process,215
bond,220
save,120
eccentric,110
super-wealthy,10
megalomaniac,11
bent,28
domination,13
destruction,57
depressing,165
ruthlessly,10
pained,10
depraved,20
staring,36
wound,27
damon,34
brings,174
proper,44
conviction,105
jason,107
bourne,63
beware,7
penance,17
rich,300
luscious,13
cares,55
singularly,13
off-putting,16
boris,4
von,25
sychowski,5
instead,443
opts,18
routine,168
slasher,91
sit,257
've,775
nice,241
trusted,13
complex,328
left,341
predictable,464
superfluous,29
sequel,240
plagued,9
feeling,451
let,201
over,1126
shown,33
appointed,20
visible,38
enthusiasm,63
mighty,22
roughshod,22
document,110
serves,114
workable,13
primer,19
region,26
terrific,281
10th-grade,11
learning,29
tool,42
cloaks,3
anti-feminist,8
equation,15
career,288
misery,57
tiresome,109
romantic-comedy,7
duds,7
'n,48
safe,104
play,426
milquetoast,12
week,99
transcends,73
boy-meets-girl,7
posturing,33
typical,186
stories,390
cliche-ridden,18
endeavor,83
predecessor,117
blend,147
overripe,11
episode,196
dawson,71
creek,22
recycled,58
dumbed-down,50
covers,46
huge,162
topics,18
bland,228
surfacey,11
offer,216
why,533
instance,36
improve,46
blank,60
threw,29
loads,42
money,186
idea,477
teenage,108
boys,190
wrestling,31
difficult,308
imagine,198
confused,66
sloppily,19
possibly,128
road,196
2002,171
well-intentioned,44
rent,87
parable,66
jolting,21
charleston,5
rhythms,121
sizzle,37
news,110
found,274
vent,13
sy,14
open-faced,11
smiling,33
madmen,13
killer,147
insomnia,43
phoned-in,3
business,211
lackadaisical,15
plotting,101
mindless,162
benjamins,38
tier,11
blaxploitation,39
flicks,210
1970s,49
ah,37
yes,118
me,681
urge,78
doze,39
thoughtless,6
random,79
superficial,127
humour,94
scouse,5
values,119
standard,167
procedure,20
narc,32
strikes,65
defiantly,26
retro,29
chord,44
outpaces,8
contemporaries,19
daring,147
verve,79
rip-roaring,4
fest,38
'll,698
put,423
hairs,19
chest,54
what-if,20
miyazaki,41
wondrously,19
gifted,87
artists,97
storytellers,4
chronicle,37
quest,95
president,23
single-handedly,12
turned,141
plane,35
hard-bitten,25
cynical,122
journalists,18
essentially,123
campaign,38
extended,86
publicity,19
department,66
provides,130
laugh,308
therapy,54
comedies,310
offbeat,81
happy,172
ending,373
strangely,134
hollow,63
core,167
commercialism,17
squeezed,8
idealism,38
moviemaking,109
godfrey,24
reggio,58
shines,38
lonely,32
beacon,20
roger,107
michell,29
cuss,13
severely,29
bungling,12
robert,224
harmon,21
less-is-more,7
bump-in,9
the-night,8
chills,74
greatest,154
keeping,75
creepy,294
crawlies,9
hidden,44
shadows,73
highest,53
awkwardness,38
human,1010
generous,48
feral,21
uncomfortable,31
sillier,20
cuter,6
shorter,23
remember,166
enjoyable,450
expected,126
laughs,574
basic,107
comedic,131
constructs,24
black-and-white,34
unrealistic,3
reassuring,14
manner,196
sung,31
holiday,122
carol,44
camouflage,34
carvey,76
now,393
considering,67
paper,71
bag,87
wear,51
public,175
recognized,29
bilked,20
unsuspecting,34
moviegoers,127
scares,43
ominous,18
pervasive,34
unknown,29
threat,43
lurks,11
below,62
proceedings,99
adds,64
constant,82
mindset,52
suspense,410
computer,121
animation,288
handsome,80
various,110
sidekicks,9
add,199
much-needed,10
levity,19
bleak,74
overall,190
rises,75
mediocrity,53
rock,268
videos,63
fused,18
eerie,48
atmosphere,142
breezy,67
esoteric,9
musings,18
philosophy,56
former,59
gong,36
addict,25
admit,72
my,898
complaint,39
re-creations,13
genuinely,140
unnerving,78
increasingly,107
diverse,51
describe,56
joyous,53
leaps,37
national,130
boundaries,47
celebrates,56
nature,299
worthy,252
bites,17
chew,53
linking,20
massacre,29
armenians,5
1915,16
present,130
halfway,76
dwindles,5
witty,180
surprising,236
morality,96
disguised,36
senses,43
traveler,62
earlier,84
freundlich,34
bears,120
grievous,12
obscure,53
fathers,48
circles,20
obsessively,7
contact,24
fact,312
preachy,94
touch,207
woo,87
bullet,11
ballet,15
formulas,9
messing,20
big-bug,6
bogus,48
confident,50
pair,88
destination,104
special,623
walk,119
woods,30
superbly,38
photographed,50
staged,91
mendes,30
set,496
likes,21
mainstream,125
rarely,150
mesmerizing,121
poem,93
10,157
seeing,301
sinks,32
abyss,10
alternative,54
become,449
apparent,108
franchise,186
long,1251
past,505
screenwriter,176
chris,127
ver,14
weil,11
directing,126
debut,399
good-natured,70
small,390
overshadowed,32
predictability,48
moves,88
away,579
solondz,95
social,348
critique,26
casting,184
intellectual,116
lector,10
contemplation,26
auteur,27
professional,70
injuries,32
dedication,64
finding,121
husband,116
psychotic,11
convincing,208
broken,95
outweighs,19
loss,198
witness,53
flat,286
looks,301
fake,78
mildly,191
toothless,19
book,440
festers,3
dungpile,8
swear,25
monkeys,14
flinging,7
feces,40
addition,75
overcooked,9
direction,538
reaching,41
row,23
sounds,132
horrible,88
vile,13
incoherent,73
scummy,9
ripoff,9
cronenberg,9
videodrome,14
kinda,43
dumb,360
sent,39
copyof,7
review,35
humbuggery,4
blade,123
ii,207
arch,5
cold-blooded,6
thinly-conceived,5
flame-like,3
roiling,14
inspires,40
trembling,15
gratitude,6
robinson,33
web,44
matches,12
page-turning,7
frenzy,19
clancy,33
creates,141
got,281
lynch,27
tentative,3
favor,143
given,277
concentrating,12
elements,282
revealing,123
alienation,51
among,228
sadly,66
hostile,22
odds,88
recklessness,27
retaliation,25
austin,75
goldmember,17
entertainment,643
sustain,223
interest,455
puzzles,4
emphasis,38
britney,88
spears,83
maintaining,26
appearance,27
clinical,41
objectivity,26
inspiring,121
wiseman,28
warmest,8
doubt,131
asks,77
questions,191
country,204
dreary,107
spark,110
appear,107
ca,765
generate,74
heat,61
cold,274
vacuum,33
reaction,74
ivan,14
prince,18
fellow,56
shallow,144
glib,72
mean-spirited,54
responsible,59
particular,162
value,143
merit,71
using,93
stock,120
injects,14
freshness,49
provide,108
100,74
beating,31
spoof,104
downplays,6
raunch,24
gags,317
rely,44
strength,137
cleverness,86
opposed,15
extent,49
outrageousness,21
begins,186
conventional,159
evolves,11
gorgeously,44
atmospheric,36
meditation,163
life-changing,11
encounters,28
buy,107
popcorn,160
late-night,19
cable,75
sexploitation,5
masquerading,5
ruthless,28
order,95
governs,11
college,222
cliques,12
effort,414
burdened,7
sensibilities,55
emerge,58
accessibility,10
allen,152
piffle,34
saying,93
airhead,22
deserves,168
momentum,69
position,16
remains,243
undeterminable,9
experiment,28
successful,177
judith,4
zaza,5
bedroom,17
intimate,177
sensual,80
psychologically,48
self-revealing,8
passes,35
hysterics,17
spotty,5
biting,93
irritating,123
soul-searching,22
garbage,43
price,156
ticket,95
clarity,118
matters,101
breaking,42
codes,21
comparison,71
disappointingly,47
thin,216
lower-class,21
london,33
mainly,75
south,137
korean,57
undemanding,20
alacrity,12
counterparts,51
except,165
heady,49
jumble,32
insane,36
undertaking,8
coheres,9
sane,75
breathtakingly,48
creative,240
joke,179
toilet,52
seat,155
substantive,7
structures,14
coming-of-age,221
concept,276
help,270
caught,52
appears,115
whom,111
logic,99
cohesion,23
foreign,153
ignore,43
concentrate,7
sea,148
interpersonal,13
ai,50
half-bad,14
dreadful,37
passionate,60
somewhat,229
flawed,188
treatment,141
smackdown,4
guilty,156
celebration,59
these,886
unfairly,6
dismissed,38
painfully,144
forced,175
false,120
fabricated,14
relative,36
letdown,19
hey,64
arnold,90
scratches,7
surface,113
itch,22
explore,80
band,124
featured,14
drumline,20
red,169
hot,124
mere,101
non-mystery,3
leigh,44
directors,154
soul,202
cast,1068
sham,31
raw-nerved,8
monumental,26
practically,46
facet,25
joyless,40
idiotic,34
annoying,113
atrocious,19
highly-praised,7
disappointments,16
misfortune,11
watch,763
quite,816
stand-up,100
wanes,12
roman,60
directs,59
surgeon,11
mends,11
meticulously,12
passion,354
garth,5
progressed,11
nicely,125
wayne,18
empathy,120
spare,96
waydowntown,31
acknowledges,33
silent,66
screams,31
workaday,11
inertia,16
stops,64
indulging,10
striving,19
solipsism,12
labours,4
thrilled,6
good-naturedness,12
deeds,30
embrace,42
sheer,122
goofiness,18
cameos,27
than-likely,5
celebrities,7
certainly,274
raises,57
sandler,163
attached,30
fundamentally,17
level,471
achieves,89
goofy,174
grandeur,96
ho-hum,24
affair,136
always,485
watchable,149
uniformly,37
acted,192
especially,430
ballesta,9
galan,8
first-time,83
achero,9
manas,10
schematic,10
obvious,419
resurrect,8
dead,253
copy,71
a-knocking,9
white,212
shores,19
wary,22
natives,12
true,580
abhorrent,17
simplistic,142
heaven,145
likely,392
hell,190
holly,53
marina,32
survive,52
hothouse,18
teendom,17
longevity,5
inexplicable,49
characterizations,80
crassly,20
reductive,21
hours,404
connect,107
neat,71
introduces,32
illuminate,10
mysteries,84
duty,46
purports,26
target,218
deeper,148
nine-tenths,6
waterboy,16
motions,34
zip,5
gone,263
snazzy,8
establishes,30
realistic,142
involves,25
unfolding,32
ensures,15
investment,21
pays,58
automatically,24
bypass,6
hip-hop,101
second,309
bigelow,16
flashy,77
twists,182
turns,371
fortify,6
turgid,27
fable,89
unsophisticated,14
seriously,170
stupid,213
infantile,31
redundant,52
sloppy,112
over-the-top,94
resident,19
carpenter,57
ghosts,53
mars,48
eliminating,9
beheadings,10
resolutely,61
avoids,53
possibilities,39
situation,226
prom,12
dates,12
destiny,35
master,190
storyteller,27
further,128
anyone,569
hunger,14
cat,56
tasty,84
lifts,33
cannibal,31
lust,55
ordinary,103
orientation,6
expectation,43
laughter,100
quashed,7
obscenity,10
hand,236
funniest,129
depth,246
lacked,9
translation,54
frailty,60
campfire,15
telling,143
each,441
willies,15
front-loaded,5
shapely,5
two-hour,25
1990,9
ambitious,225
shiner,19
organizing,10
fight,126
pulls,132
effects,505
suck,67
flaws,190
beast,60
brutal,110
honesty,86
respect,116
twenty,27
release,160
e.t,36
wondrous,27
fantasies,69
apex,9
misunderstood,11
gooding,17
desperately,77
ingratiating,24
stumbles,20
trick,92
outrage,34
easier,55
combines,32
enigmatic,40
features,89
memento,23
hallucinatory,24
drug,98
requiem,9
individual,59
prism,27
beliefs,15
prejudices,12
take,827
peace,44
possible,317
flailing,25
terribly,74
ill-conceived,35
expensive,15
project,373
talented,230
thesps,10
slumming,17
broder,17
offensive,127
pitifully,9
leguizamo,27
excellent,230
superb,83
figure,159
rules,53
bear,43
universe,41
humans,37
hairier,10
tax,18
einstein,8
brain,192
feardotcom,29
makings,12
ethereal,38
internet,26
otherworldly,35
energies,19
channel,126
delia,3
greta,5
paula,6
rank,54
three,527
multilayered,19
sympathetic,70
female,206
beauty,284
alexander,13
payne,33
ode,65
everyman,18
town,50
authentic,95
stand,257
everybody,30
background,86
manufactured,54
artificial,99
julie,19
davis,87
kathie,9
gifford,10
proving,20
again,553
ego,58
talent,346
credit,115
must,245
water-camera,10
operating,11
don,69
king,146
sonny,33
miller,75
michael,321
stewart,37
aussie,5
caesar,11
channels,15
not-quite-dead,9
guy,240
